review
kalo tidak niat jual mnde tidak usah kak emang ini murah tapi tidak jual barang yg rusak j
jangan beli di sini nama toko tidak angel yang benar kecewa dichat untuk komplain dan mau retur tapi tidak balas kalau sudah seperti ini nama apa kalau bukan tipu barang beda sama sekali
tidak sesuai kecewa
kecewa bnget pngriman nya lma pdhal pesan nya 10 hri lgi ke lebaran tpi dtang 2 hari stlah lebaran kapok ah beli lgi d tko ini jdi bju nya gk kepake lebaran
jarum jam nya tidak putar rusak
tidak bagus banta guling kempe isi dakron di bantal guling sediikit jadi pas di pke kempe
pesan warna abu abu datang warna coklat tidak jelas
nyata crop bahan tipis
mkasih ya aku udh trtimah paketx walpun 1 nya warna pik tapi gk apa bagus ko kurinx jga udh lagang sama sya mlm pun bisah antar wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati tanda cium
barang si sesuai cm ukran xl nya kecil
maaf baru ngasih ulas soal nya tak coba dulu tpi gila bgt sih hasil wortd bgt buat acara kondangan juga si aku saranin buat tmn tmn milih nomer 1 warn
kamera kurang bagus
kecewa g bs d gunain
besar belah wajah kecewa namun lega
produk nya sih ok tp koq ga ada cincin nya mana lama banget nyampe nya
tidak bisa guna kecewa banget mana beli 2 wajah sangat marah wajah sangat marah tidak keluar gambar
kesel ga muat sen size 39 d kirim 38 mana lem beranta jelek bgt sya jual ga pake ogah nya jga
gx pernah kecewa hati
sblm nya maksih barang ud sampe jm 8mlm untung ada dirmh g lg taraweh mksih mas kurir nya yg ini baru liat aq tapi gelang besar bgt ampe ngelos tang itu fto gelang yg lama ud sempit sama gelang yg baru dtg jd g bs dipake anak aq ud gtu isi kurang padet yaa jd bnyk kosong kurang enak liat jd pas brg dtg neng pas buka liat gelang jd g mood beda sama yg pertama x order
sen warna hijau yg datang hitam
tau warna ga sih psen hijau dtng pa itu
bagus suka bgt
di pesan warna choklate yg di kirim cream
sakit hati hasil
kecewa banget sen 2 warna ko warna y oklat semua
bahan nya panas dan tipis bagus baju di pasar 120rb tapi bahan tebel adem udah gitu warna beda sen navy kirim tosca tolong teliti kalau gin kan konsumen kecewa walaupun di tawarin retur juga kita pihak konsumen harus bayar ongkos kirim nya lagi dari sini untuk retur ke sellernya baru kali ini kecewa blanja di lazada
kemeja nya tidak sesuai foto bahan nya jelek
kecewa bahan ada yg sobek kardus penyok tlng u pack n kirim d cek lg barang
barang udah sampe dengan selamat meski kirim agak lumayan lama tapi problem sukse terus lazada jempol ke atas lengan otot
sangat tidak puas sen warna apa yg datang warna apa jahit sangat tidak baik cukup sekali ini aja belanja di toko ini
bagus baju nya lumayan untuk harga juga makasih lajada jempol ke atas jempol ke atas
